,connection,cache_mode,queried region,average_read_time,average_update_time
0,SGP_1,NO_CACHE,SGP,0.212,0.208
1,ORE_1,NO_CACHE,ORE,0.213,0.208
2,SGP_1,NO_CACHE,ORE,0.203,0.206
3,ORE_1,NO_CACHE,SGP,0.204,0.205
4,SGP_1,LOCAL,SGP,0.037,0.037
5,ORE_1,LOCAL,ORE,0.124,0.118
6,SGP_1,LOCAL,ORE,0.207,0.210
7,ORE_1,LOCAL,SGP,0.125,0.123
8,SGP_1,REDIS,SGP,0.037,0.042
9,ORE_1,REDIS,ORE,0.119,0.121
10,SGP_1,REDIS,ORE,0.205,0.207
11,ORE_1,REDIS,SGP,0.114,0.123
12,SGP_1,IDEAL,SGP,0.037,0.039
13,ORE_1,IDEAL,ORE,0.119,0.118
14,SGP_1,IDEAL,ORE,0.203,0.206
15,ORE_1,IDEAL,SGP,0.120,0.126